timestamp,company_name,email,status,error_message
2026-08-04 22:10:08,(test),isamohommedh@gmail.com,Sent,
2026-08-04 22:10:25,Baker Tilly,info@bakertilly.lk,Skipped,address rejected by mail server
2026-08-04 22:10:26,SPM Corporate Services,spm@sltnet.lk,Skipped,address rejected by mail server
2026-08-04 22:10:36,Sumudu BPO,info@sumudubpo.com,Sent,
2026-08-04 22:10:58,Floza Automations,info@peachpuff-sandpiper-684882.hostingersite.com,Sent,
2026-08-04 22:11:15,First Accounting Solutions,haroon@firstaccsolutions.com,Sent,
2026-08-04 22:11:39,Qcontra Accounting Consultants,info@qcontra.com,Sent,
2026-08-04 22:11:59,H. T. Peiris & Company,audit@htpeiris.com,Sent,
2026-08-04 22:12:27,MAS Associates,info@masassociates.lk,Sent,
2026-08-04 22:12:45,Finlorex Associates,finlorexassociate@gmail.com,Sent,
2026-08-04 22:15:17,Baker Tilly,info@bakertilly.lk,Sent,
2026-08-04 22:15:34,SPM Corporate Services,spm@sltnet.lk,Sent,
2026-08-04 22:15:54,Sumudu BPO,info@sumudubpo.com,Skipped,duplicate / already processed
2026-08-04 22:15:54,Floza Automations,info@peachpuff-sandpiper-684882.hostingersite.com,Skipped,duplicate / already processed
2026-08-04 22:15:54,First Accounting Solutions,haroon@firstaccsolutions.com,Skipped,duplicate / already processed
2026-08-04 22:15:54,Qcontra Accounting Consultants,info@qcontra.com,Skipped,duplicate / already processed
2026-08-04 22:15:54,H. T. Peiris & Company,audit@htpeiris.com,Skipped,duplicate / already processed
2026-08-04 22:15:54,MAS Associates,info@masassociates.lk,Skipped,duplicate / already processed
2026-08-04 22:15:54,Finlorex Associates,finlorexassociate@gmail.com,Skipped,duplicate / already processed
2026-08-04 22:29:07,Baker Tilly,info@bakertilly.lk,Skipped,duplicate / already processed
2026-08-04 22:29:08,Baker Tilly,accounts@bakertilly.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:29:10,Baker Tilly,tax@bakertilly.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:29:13,Baker Tilly,admin@bakertilly.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:29:14,Baker Tilly,hr@bakertilly.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:29:21,SPM Corporate Services,info@spmaccountants.lk,Sent,
2026-08-04 22:29:21,SPM Corporate Services,info@spmaccountants.lk,Skipped,duplicate / already processed
2026-08-04 22:29:46,SPM Corporate Services,accounts@spmaccountants.lk,Sent,
2026-08-04 22:29:48,SPM Corporate Services,tax@spmaccountants.lk,Skipped,rejected by mail server
2026-08-04 22:29:51,SPM Corporate Services,admin@spmaccountants.lk,Skipped,rejected by mail server
2026-08-04 22:30:10,Sumudu BPO,infob@sumudubpo.com,Sent,
2026-08-04 22:30:10,Sumudu BPO,info@sumudubpo.com,Skipped,duplicate / already processed
2026-08-04 22:30:16,Sumudu BPO,accounts@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:30:22,Sumudu BPO,tax@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:30:28,Sumudu BPO,admin@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:30:50,MP Associates,info@mpassociateslanka.com,Sent,
2026-08-04 22:30:57,MP Associates,accounts@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:31:04,MP Associates,tax@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:31:11,MP Associates,admin@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:31:19,MP Associates,hr@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:31:21,First Accounting Solutions,info@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:31:23,First Accounting Solutions,accounts@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:31:25,First Accounting Solutions,tax@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:31:27,First Accounting Solutions,admin@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:31:29,First Accounting Solutions,hr@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:31:58,Qcontra Accounting Consultants,tax@qcontra.com,Sent,
2026-08-04 22:32:16,Qcontra Accounting Consultants,mfmashraff@yahoo.com,Sent,
2026-08-04 22:32:16,Qcontra Accounting Consultants,info@qcontra.com,Skipped,duplicate / already processed
2026-08-04 22:32:22,Qcontra Accounting Consultants,accounts@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:32:22,Qcontra Accounting Consultants,tax@qcontra.com,Skipped,duplicate / already processed
2026-08-04 22:32:42,H. T. Peiris & Company,tax@htpeiris.com,Sent,
2026-08-04 22:32:57,H. T. Peiris & Company,consultancy@htpeiris.com,Sent,
2026-08-04 22:33:14,H. T. Peiris & Company,accpushpa@gmail.com,Sent,
2026-08-04 22:33:44,H. T. Peiris & Company,pranidhidesilva@gmail.com,Sent,
2026-08-04 22:34:04,H. T. Peiris & Company,deshanialoka89@gmail.com,Sent,
2026-08-04 22:34:04,MAS Associates,info@masassociates.lk,Skipped,duplicate / already processed
2026-08-04 22:34:24,MAS Associates,accounts@masassociates.lk,Sent,
2026-08-04 22:34:48,MAS Associates,tax@masassociates.lk,Sent,
2026-08-04 22:35:06,MAS Associates,admin@masassociates.lk,Sent,
2026-08-04 22:35:29,MAS Associates,hr@masassociates.lk,Sent,
2026-08-04 22:45:56,Baker Tilly,priyan@bakertilly.lk,Sent,
2026-08-04 22:46:20,Baker Tilly,anura@bakertilly.lk,Sent,
2026-08-04 22:46:33,Baker Tilly,kumudini@bakertilly.lk,Sent,
2026-08-04 22:46:50,Baker Tilly,manoj@bakertilly.lk,Sent,
2026-08-04 22:47:05,Baker Tilly,rusiru@bakertilly.lk,Sent,
2026-08-04 22:47:05,SPM Corporate Services,info@spmaccountants.lk,Skipped,duplicate / already processed
2026-08-04 22:47:05,SPM Corporate Services,accounts@spmaccountants.lk,Skipped,duplicate / already processed
2026-08-04 22:47:07,SPM Corporate Services,tax@spmaccountants.lk,Skipped,rejected by mail server
2026-08-04 22:47:10,SPM Corporate Services,admin@spmaccountants.lk,Skipped,rejected by mail server
2026-08-04 22:47:13,SPM Corporate Services,hr@spmaccountants.lk,Skipped,rejected by mail server
2026-08-04 22:47:15,SPM Corporate Services,audit@spmaccountants.lk,Skipped,rejected by mail server
2026-08-04 22:47:16,SPM Corporate Services,contact@spmaccountants.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:17,SPM Corporate Services,careers@spmaccountants.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:18,SPM Corporate Services,finance@spmaccountants.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:19,SPM Corporate Services,support@spmaccountants.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:20,SPM Corporate Services,enquiries@spmaccountants.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:20,SPM Corporate Services,enquiry@spmaccountants.lk,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:20,Sumudu BPO,info@sumudubpo.com,Skipped,duplicate / already processed
2026-08-04 22:47:27,Sumudu BPO,accounts@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:33,Sumudu BPO,tax@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:39,Sumudu BPO,admin@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:45,Sumudu BPO,hr@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:51,Sumudu BPO,audit@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:47:57,Sumudu BPO,contact@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:03,Sumudu BPO,careers@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:09,Sumudu BPO,finance@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:15,Sumudu BPO,support@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:21,Sumudu BPO,enquiries@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:27,Sumudu BPO,enquiry@sumudubpo.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:27,MP Associates,info@mpassociateslanka.com,Skipped,duplicate / already processed
2026-08-04 22:48:29,MP Associates,accounts@mpassociateslanka.com,Skipped,rejected by mail server
2026-08-04 22:48:31,MP Associates,tax@mpassociateslanka.com,Skipped,rejected by mail server
2026-08-04 22:48:33,MP Associates,admin@mpassociateslanka.com,Skipped,rejected by mail server
2026-08-04 22:48:36,MP Associates,hr@mpassociateslanka.com,Skipped,rejected by mail server
2026-08-04 22:48:43,MP Associates,audit@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:50,MP Associates,contact@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:48:58,MP Associates,careers@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:49:05,MP Associates,finance@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:49:12,MP Associates,support@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:49:20,MP Associates,enquiries@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:49:27,MP Associates,enquiry@mpassociateslanka.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:49:29,First Accounting Solutions,info@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:31,First Accounting Solutions,accounts@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:33,First Accounting Solutions,tax@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:35,First Accounting Solutions,admin@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:37,First Accounting Solutions,hr@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:39,First Accounting Solutions,audit@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:41,First Accounting Solutions,contact@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:43,First Accounting Solutions,careers@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:44,First Accounting Solutions,finance@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:46,First Accounting Solutions,support@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:48,First Accounting Solutions,enquiries@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:49:50,First Accounting Solutions,enquiry@firstaccsolutions.com,Skipped,rejected by mail server
2026-08-04 22:50:09,Qcontra Accounting Consultants,q.contra@yahoo.com,Sent,
2026-08-04 22:50:09,Qcontra Accounting Consultants,info@qcontra.com,Skipped,duplicate / already processed
2026-08-04 22:50:15,Qcontra Accounting Consultants,accounts@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:50:15,Qcontra Accounting Consultants,tax@qcontra.com,Skipped,duplicate / already processed
2026-08-04 22:50:22,Qcontra Accounting Consultants,admin@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:50:28,Qcontra Accounting Consultants,hr@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:50:35,Qcontra Accounting Consultants,audit@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:50:41,Qcontra Accounting Consultants,contact@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:50:47,Qcontra Accounting Consultants,careers@qcontra.com,Skipped,not confirmed by SMTP probe
2026-08-04 22:50:54,Qcontra Accounting Consultants,finance@qcontra.com,Skipped,not confirmed by SMTP probe
